"","at_least_2_kids_in_2013","t0_ritual_scale","t1_ritual_scale","t0_ritual_1aweek","t1_ritual_1aweek","t0_faith_scale","t1_faith_scale","t0_faith_full","t1_faith_full","t0_age","t0_parent_income","t0_female","t0_religion_cat","t0_parent_education","t0_race","at_least_2_kid_in_2013","kids_2005","kids_2013","wave1","wave2","wave4","waves_1_2_4","caregiver1"
"1",0,2,NA,0,NA,2,NA,0,NA,14,11,0,"Catholic","Beyond high school","White",0,0,0,1,0,1,0,"Parent"
"2",NA,1,NA,0,NA,3,NA,0,NA,13,4,0,"Black Protestant","Less than 12th grade","Black",NA,NA,NA,1,0,0,0,"Parent"
"3",0,7,7,1,1,5,5,1,1,15,5,1,"Conservative Protestant","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"4",0,7,6,1,1,5,5,1,1,16,11,1,"Mormon","Beyond high school","White",0,0,1,1,1,1,1,"Parent"
"5",0,5,1,0,0,3,2,0,0,14,9,1,"Mainline Protestant","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"6",1,2,1,0,0,3,2,0,0,17,5,1,"Catholic","High school","White",1,0,2,1,1,1,1,"Parent"
"7",0,4,2,0,0,4,3,0,0,16,3,0,"Conservative Protestant","Beyond high school","White",0,0,1,1,1,1,1,"Parent"
"8",0,2,1,0,0,3,3,0,0,13,5,0,"Conservative Protestant","Beyond high school","Hispanic",0,0,0,1,1,1,1,"Parent"
"9",NA,5,NA,0,NA,2,NA,0,NA,13,6,1,"Conservative Protestant","High school","White",NA,NA,NA,1,0,0,0,"Parent"
"10",NA,6,NA,1,NA,4,NA,0,NA,13,3,0,"Catholic","Less than 12th grade","Hispanic",NA,NA,NA,1,0,0,0,"Parent"
"11",0,2,2,0,0,2,3,0,0,17,10,0,"Conservative Protestant","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"12",0,6,2,1,0,4,4,0,0,16,NA,1,"Catholic","High school","White",0,0,0,1,1,1,1,"Parent"
"13",0,5,2,0,0,4,3,0,0,15,6,1,"Mainline Protestant","High school","White",0,0,0,1,1,1,1,"Parent"
"14",NA,6,NA,1,NA,4,NA,0,NA,15,6,0,"Not disclosed","Less than 12th grade","Hispanic",NA,NA,NA,1,0,0,0,"Parent"
"15",0,6,NA,1,NA,4,NA,0,NA,17,11,1,"Catholic","Beyond high school","White",0,0,0,1,0,1,0,"Parent"
"16",0,6,6,1,1,1,1,0,0,16,10,1,"Catholic","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
